,localidade,municipio,estado,data_avistamento,municipio_estado
515,Praia Pontal do Maceió,Fortim,CE,2019-11-12,Fortim/CE
516,Praia de Três Coqueiros (Praia de Bombaça),Maraú,BA,2019-11-12,Maraú/BA
517,Praia de Pratigi,Ituberá,BA,2019-11-12,Ituberá/BA
518,São Domingos,Ilhéus,BA,2019-11-12,Ilhéus/BA
519,Praia Costa Azul,Jandaíra,BA,2019-11-12,Jandaíra/BA
520,Praia de Corumbau,Prado,BA,2019-11-12,Prado/BA
521,Segunda Praia,Cairu,BA,2019-11-12,Cairu/BA
522,Praia da Cinelândia,Aracaju,SE,2019-11-12,Aracaju/SE
523,Praia do Bosque,São Mateus,ES,2019-11-12,São Mateus/ES
524,Praia de Lençóis,Una,BA,2019-11-12,Una/BA
525,Praia de Guriri,São Mateus,ES,2019-11-13,São Mateus/ES
526,Praia do Pontal do Ipiranga,Linhares,ES,2019-11-13,Linhares/ES
527,Praia do Taboado,Jequiá Da Praia,AL,2019-11-13,Jequiá Da Praia/AL
528,Praia de Flexeiras,Feliz Deserto,AL,2019-11-13,Feliz Deserto/AL
529,Praia de Itaúnas,Conceição Da Barra,ES,2019-11-13,Conceição Da Barra/ES
530,Sarney,Aracaju,SE,2019-11-13,Aracaju/SE
531,Praia de Pratigi,Ituberá,BA,2019-11-13,Ituberá/BA
532,Praia da Boa viagem,Estância,SE,2019-11-13,Estância/SE
533,Dunas,Estância,SE,2019-11-13,Estância/SE
534,Praia da Costa Dourada,Mucuri,BA,2019-11-13,Mucuri/BA
535,Praia da Subauma,Entre Rios,BA,2019-11-13,Entre Rios/BA
536,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-13,Conceição Da Barra/ES
537,Praia de Taipus de Fora,Maraú,BA,2019-11-13,Maraú/BA
538,Praia do Taboado,Roteiro,AL,2019-11-13,Roteiro/AL
539,Praia Patizeiro,Itacaré,BA,2019-11-13,Itacaré/BA
540,Aritaguá,Ilhéus,BA,2019-11-13,Ilhéus/BA
541,Praia Pirambu,Pirambu,SE,2019-11-13,Pirambu/SE
542,Praia do Me Ache,Ilhéus,BA,2019-11-13,Ilhéus/BA
543,Praia de Alcobaça (Praia do Centro),Alcobaça,BA,2019-11-13,Alcobaça/BA
544,Praia do Bosque,São Mateus,ES,2019-11-13,São Mateus/ES
545,Praia do Malhado,Ilhéus,BA,2019-11-13,Ilhéus/BA
546,Praia de Urussuquara,São Mateus,ES,2019-11-13,São Mateus/ES
547,Porto do Campo,Igrapiúna,BA,2019-11-13,Igrapiúna/BA
548,Praia de Mucuri,Mucuri,BA,2019-11-13,Mucuri/BA
549,Praia de Atalaia,Aracaju,SE,2019-11-13,Aracaju/SE
550,Praia do Gunga,Roteiro,AL,2019-11-13,Roteiro/AL
551,Arandi-Algodões,Maraú,BA,2019-11-13,Maraú/BA
552,Praia Pirambu,Pirambu,SE,2019-11-13,Pirambu/SE
553,Praia de Jeribucaçu,Itacaré,BA,2019-11-13,Itacaré/BA
554,Praia da Ponta dos Mangues,Pirambu,SE,2019-11-13,Pirambu/SE
555,Praia de Malembá,Senador Georgino Avelino,RN,2019-11-13,Senador Georgino Avelino/RN
556,Praia da Tabuba,Barra De Santo Antônio,AL,2019-11-13,Barra De Santo Antônio/AL
557,Praia de São Miguel,Ilhéus,BA,2019-11-13,Ilhéus/BA
558,Praia do Cristo,Ilhéus,BA,2019-11-13,Ilhéus/BA
559,Praia do Cristo,Ilhéus,BA,2019-11-13,Ilhéus/BA
560,Ilha de Santana,Humberto De Campos,MA,2019-11-13,Humberto De Campos/MA
561,Praia de Guriri,São Mateus,ES,2019-11-14,São Mateus/ES
562,Eco Village,Itacaré,BA,2019-11-14,Itacaré/BA
563,Praia da Lagoa Azeda,Jequiá Da Praia,AL,2019-11-14,Jequiá Da Praia/AL
564,Praia de Itaúnas,Conceição Da Barra,ES,2019-11-14,Conceição Da Barra/ES
565,Ponta do Contrato,Igrapiúna,BA,2019-11-14,Igrapiúna/BA
566,Praia do Mosqueiro,Aracaju,SE,2019-11-14,Aracaju/SE
567,Praia de Itapororoca,Una,BA,2019-11-14,Una/BA
568,Praia de Guriri,São Mateus,ES,2019-11-14,São Mateus/ES
569,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-14,Conceição Da Barra/ES
570,Praia de Iansã,Alcobaça,BA,2019-11-14,Alcobaça/BA
571,Praia dos Náufragos,Aracaju,SE,2019-11-14,Aracaju/SE
572,Praia de Atalaia,Aracaju,SE,2019-11-14,Aracaju/SE
573,Praia de Regência,Linhares,ES,2019-11-14,Linhares/ES
574,Praia do Centro,Prado,BA,2019-11-14,Prado/BA
575,Barra de Jacuípe,Camaçari,BA,2019-11-14,Camaçari/BA
